"time","wallTime","wc2.out","wc1.out"
0.675,1.70951,-1.51481,-0.575415
0.676,1.7102,-1.49641,-0.566657
0.677,1.71024,-1.47802,-0.5579
0.678,1.71026,-1.45962,-0.549143
0.679,1.71028,-1.44122,-0.540386
0.68,1.71031,-1.42283,-0.531629
0.681,1.7107,-1.40449,-0.523107
0.682,1.71072,-1.38615,-0.514584
0.683,1.71074,-1.36781,-0.506062
0.684,1.71076,-1.34947,-0.497539
0.685,1.71079,-1.33113,-0.489017
0.686,1.71121,-1.31296,-0.480771
0.687,1.71123,-1.29479,-0.472524
0.688,1.71125,-1.27662,-0.464278
0.689,1.71127,-1.25846,-0.456032
0.69,1.71129,-1.24029,-0.447785
0.691,1.71169,-1.2224,-0.439852
0.692,1.71172,-1.2045,-0.431918
0.693,1.71174,-1.18661,-0.423985
0.694,1.71176,-1.16872,-0.416052
0.695,1.71177,-1.15083,-0.408118
0.696,1.71221,-1.13331,-0.400529
0.697,1.71223,-1.1158,-0.39294
0.698,1.71225,-1.09829,-0.385352
